"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "Vue", "Less", "Properties", "comment", "blank", "total"
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\.postcssrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 2, 11
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\README.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 0, 8, 23
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\build\build.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\build\check-versions.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 10, 55
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\build\utils.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 5, 17, 102
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\build\vue-loader.conf.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\build\webpack.base.conf.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 4, 5, 90
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\build\webpack.dev.conf.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 7, 7, 96
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\build\webpack.prod.conf.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 24, 8, 146
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\config\dev.env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\config\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 25, 16, 70
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\config\prod.env.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\documents\demand.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 0, 13, 60
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\documents\description.md", "Markdown", 0, 0, 0, 16, 0, 0, 0, 0, 6, 22
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\documents\interactive.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 8, 31
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\documents\modify.md", "Markdown", 0, 0, 0, 71, 0, 0, 0, 0, 23, 94
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\package-lock.json", "JSON", 0, 0, 14345, 0, 0, 0, 0, 0, 1, 14346
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\package.json", "JSON", 0, 0, 75, 0, 0, 0, 0, 0, 1, 76
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\APIs\event.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 12, 11, 86
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\APIs\global.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\App.vue", "Vue", 0, 0, 0, 0, 62, 0, 0, 0, 4, 66
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\components\Head\Head.vue", "Vue", 0, 0, 0, 0, 88, 0, 0, 2, 8, 98
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\components\Icon\Icon.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 2, 53
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\main.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 5, 5, 33
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\pages\AddMessage\AddMessage.less", "Less", 0, 0, 0, 0, 0, 200, 0, 0, 32, 232
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\pages\AddMessage\AddMessage.vue", "Vue", 0, 0, 0, 0, 217, 0, 0, 4, 4, 225
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\pages\Group\Group.less", "Less", 0, 0, 0, 0, 0, 238, 0, 1, 47, 286
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\pages\Group\Group.vue", "Vue", 0, 0, 0, 0, 725, 0, 0, 48, 18, 791
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\pages\PolicyAnalyze\PolicyAnalyze.less", "Less", 0, 0, 0, 0, 0, 338, 0, 5, 60, 403
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\pages\PolicyAnalyze\PolicyAnalyze.vue", "Vue", 0, 0, 0, 0, 424, 0, 0, 22, 8, 454
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\pages\PoliticsInfo\PoliticsInfo.less", "Less", 0, 0, 0, 0, 0, 258, 0, 4, 50, 312
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\pages\PoliticsInfo\PoliticsInfo.vue", "Vue", 0, 0, 0, 0, 666, 0, 0, 93, 37, 796
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\pages\test.vue", "Vue", 0, 0, 0, 0, 120, 0, 0, 2, 4, 126
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\router\index.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\effectList.js", "JavaScript", 281, 0, 0, 0, 0, 0, 0, 0, 1, 282
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\jquery-1.11.3.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\newsetDate.js", "JavaScript", 2645, 0, 0, 0, 0, 0, 0, 12, 68, 2725
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\sad.js", "JavaScript", 14486, 0, 0, 0, 0, 0, 0, 88, 645, 15219
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\topic.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 7, 1, 40
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\visitCount.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 4, 1, 55
"f:\Desktop\job\外包\中国人民公安大学项目\chart_client\src\untils2\warning.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
